==============================================================================
==============================================================================
 Apr. 19 2014                  LANDSAT 5                       Time: 12:12
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101404185054_00002                          Path / Row - 224 / 63
Reference Image: L51CUB1088227120102_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 98.5%
Rank   2 --  1.5%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
2240630694   -3.64204    -50.59740    -0.15     -0.26     0.30     1 
2240630695   -3.64202    -50.56984     0.09      0.05     0.11     1 
2240630698   -3.64198    -50.48718    -0.15     -0.07     0.17     1 
2240630699   -3.64196    -50.45963    -0.10      0.09     0.14     1 
2240630700   -3.64195    -50.43208    -0.11     -0.03     0.12     1 
2240630701   -3.64193    -50.40452    -0.17     -0.09     0.19     1 
2240630702   -3.64191    -50.37697    -0.11     -0.06     0.13     1 
2240630703   -3.64189    -50.34942    -0.07     -0.08     0.10     1 
2240630704   -3.64187    -50.32186    -0.20     -0.17     0.27     1 
2240630705   -3.64185    -50.29431    -0.21     -0.25     0.32     1 
2240630706   -3.64183    -50.26676    -0.18     -0.25     0.31     1 
2240630707   -3.64180    -50.23921    -0.17     -0.18     0.25     1 
2240630708   -3.64178    -50.21165    -0.16     -0.18     0.24     1 
2240630709   -3.64176    -50.18410    -0.10     -0.08     0.13     1 
2240630710   -3.64173    -50.15655    -0.14     -0.00     0.14     1 
2240630711   -3.64170    -50.12900    -0.16     -0.12     0.20     1 
2240630712   -3.64168    -50.10145    -0.12     -0.16     0.21     1 
2240630713   -3.64165    -50.07390    -0.14     -0.26     0.29     1 
2240630714   -3.64162    -50.04635    -0.21     -0.23     0.31     1 
2240630715   -3.64159    -50.01879    -0.08     -0.11     0.14     1 
2240630718   -3.64150    -49.93614    -0.20     -0.13     0.24     1 
2240630719   -3.64146    -49.90859    -0.12     -0.14     0.19     1 
2240630720   -3.64143    -49.88104    -0.36     -0.39     0.53     2 
2240630721   -3.64140    -49.85349    -0.25     -0.40     0.47     1 
2240630723   -3.64132    -49.79840    -0.22     -0.39     0.45     1 
2240630724   -3.64129    -49.77085    -0.19     -0.31     0.37     1 
2240630725   -3.64125    -49.74330    -0.17     -0.15     0.23     1 
2240630727   -3.64117    -49.68820     0.14     -0.01     0.14     1 
2240630736   -3.64077    -49.44029    -0.06     -0.16     0.17     1 
2240630738   -3.64068    -49.38520     0.04     -0.20     0.20     1 
2240630739   -3.64063    -49.35766    -0.29     -0.38     0.48     1 
2240630741   -3.64052    -49.30257    -0.13     -0.16     0.21     1 
2240630769   -3.66701    -50.59739     0.13     -0.37     0.39     1 
2240630774   -3.66693    -50.45961    -0.14     -0.07     0.15     1 
2240630775   -3.66692    -50.43206    -0.14     -0.14     0.20     1 
2240630776   -3.66690    -50.40451    -0.14     -0.13     0.19     1 
2240630777   -3.66688    -50.37695    -0.22     -0.12     0.25     1 
2240630778   -3.66686    -50.34940    -0.06      0.00     0.06     1 
2240630779   -3.66684    -50.32185    -0.13     -0.11     0.17     1 
2240630780   -3.66682    -50.29429    -0.10      0.01     0.10     1 
2240630781   -3.66680    -50.26674    -0.15     -0.05     0.15     1 
2240630782   -3.66677    -50.23918    -0.10     -0.02     0.10     1 
2240630783   -3.66675    -50.21163    -0.15     -0.01     0.15     1 
