Sat. Apr. 19, 2014             LANDSAT 5                 Time: 07:02
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L10997128            Path/Row: 224 / 063

L0R Reference Image: L51CUB1088227120102_HDF.141091118
Acquisition Date: Aug 14, 1988

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
224   063   2001-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

2240630182   -3.775541  -49.400623    30.992      -3.017     0.442    -3.049     0.002
2240630183   -3.807841  -49.562623    46.786      -1.849    -5.245    -1.073    -5.455
2240630191   -4.287994  -49.385027    44.000       2.689     3.438     2.164     3.789
2240630192   -3.759702  -49.850101    62.485      -0.774     0.771    -0.877     0.651
2240630200   -4.612482  -49.392971    44.000       3.909    -2.228     4.189    -1.641
2240630201   -4.365090  -49.407026    57.771      -1.359    -1.510    -1.126    -1.690
2240630202   -3.772467  -49.502721    47.971      -1.302     6.130    -2.172     5.877
2240630204   -4.013709  -49.685206    61.259      -1.747     1.051    -1.880     0.788
2240630205   -4.061752  -49.537601    52.242       2.000     2.985     1.547     3.241
2240630209   -4.427259  -49.426626    54.044      -0.079     6.203    -0.973     6.126
2240630212   -4.569590  -49.642075    69.013       0.044    -4.297     0.663    -4.244
2240630215   -4.883549  -49.411277    44.000      -0.681     0.345    -0.724     0.243
2240630217   -4.173338  -50.136018   133.770       3.768    -1.965     4.010    -1.400
2240630218   -4.298130  -49.895567    51.128      -3.347    -1.761    -3.057    -2.225
2240630219   -4.060299  -49.808347    75.439       3.912    -0.323     3.916     0.244
2240630224   -3.991769  -49.547181    46.373      -0.015     1.342    -0.208     1.325
2240630225   -5.055377  -50.005056   105.564      -3.961     1.815    -4.179     1.223
2240630227   -4.926737  -49.994428   154.862       0.989    -5.179     1.726    -4.979
2240630229   -4.161636  -49.714962    50.945       0.119     6.462    -0.814     6.409
2240630231   -5.017122  -49.699632    80.489       6.364    -5.016     7.019    -4.043
2240630235   -4.007340  -49.776811    62.841      -5.073    -0.070    -5.008    -0.801
2240630236   -3.736799  -49.770177    60.844       0.741     5.818    -0.106     5.862
2240630237   -3.918085  -49.789100    48.210       0.511     2.969     0.078     3.011
2240630239   -5.058281  -50.137653   104.482      -3.135     5.853    -3.945     5.336
2240630240   -4.035591  -49.797575    62.794      -3.553    -4.619    -2.848    -5.081
2240630241   -4.452609  -49.356833    56.237       0.862    -6.249     1.755    -6.058
2240630242   -3.818505  -49.791673    47.457      -1.627    -1.293    -1.423    -1.514
2240630244   -4.137431  -49.681222    53.506       1.941    -0.708     2.022    -0.421
